promedio,horas_redes,distraccion_acad,horas_estudio,asistencia,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,indice
3.82,4,1,1,95,4.134849557805399,-0.31484955780539936,0.013214774595453298,0.6002362432612419,6.236321712086899e-4,-0.5285928933796444,54
3.73,1,3,2,90,4.118581687623107,-0.38858168762310674,0.008971242523607089,0.6001112677985025,6.393705027359602e-4,-0.6509816595741129,55
3.75,5,4,3,90,4.034681025053246,-0.28468102505324566,0.005327960517163109,0.6002819373459432,2.0231406321009632e-4,-0.47604511994819804,56
3.86,5,4,0,100,3.936648143068161,-0.07664814306816092,0.01457671170037621,0.6004637019384659,4.0881333101977205e-5,-0.1287715070771473,57
3.75,4,3,3,100,4.215184071991191,-0.4651840719911906,0.005180285005817728,0.5999543388965601,5.250762948033875e-4,-0.7778255339783721,58
3.58,3,2,5,99,4.434193723621448,-0.8541937236214476,0.00703400556557921,0.5987070598812786,0.00241298465958529,-1.4296138261745575,59
3.15,6,1,1,30,3.3383025230306376,-0.18830252303063766,0.04822631580806605,0.6003883877751955,8.750579830310558e-4,-0.32189841943501907,60
4,6.5,5,5,100,4.224586986652788,-0.2245869866527883,0.01880555495998675,0.6003543251707316,4.567231459283769e-4,-0.37812605110723135,61
3.8699999999999997,1,2,10,100,4.862188459781056,-0.992188459781056,0.03684954178706972,0.5980132408979146,0.01812758775583368,-1.686074092063054,62
3.86,2.5,1,1,98,4.237461111650127,-0.3774611116501272,0.016683851401374964,0.6001292514876815,0.0011396257456840414,-0.6348266942261536,63
3.8699999999999997,6.5,2,2,70,3.7856758388246106,0.0843241611753891,0.01132492914357395,0.6004607413788446,3.818917163064332e-5,0.1414343143339823,64
3.5,4,5,2,80,3.8189511625903214,-0.3189511625903214,0.011358061031602324,0.6002303669297928,5.480022863337626e-4,-0.534975910077971,65
3.5,4,3,0.333333333333333,90,3.9237552496797883,-0.4237552496797883,0.00908607836426159,0.6000417862080836,7.702694151428663e-4,-0.7099482255034547,66
3.56,7,2,2,70,3.7672916430044068,-0.20729164300440672,0.013093477258547544,0.6003732590650744,2.677776955515066e-4,-0.34799526570602424,67
3.01,4.5,3,1,75,3.7939653714808323,-0.7839653714808326,0.006735044056482286,0.5989870933365229,0.0019449651642222978,-1.3118792861943285,68
4.8,2.5,1,8,90,4.632038683078873,0.1679613169211267,0.022929773541794096,0.6004085608666724,3.141048204306119e-4,0.2833843959070094,69
